ID,ID_recolecciones,Ubicacion,Ubicacion_URI,sameAs,Capacidad,Razon,Porcentaje_llenado,Tiempo_respuestas_h,Recolecciones,Promedio_llenado_dias,Material
1527406,15274062021-10-22T19-40Z,Avenida de América,Avenida_de_America,https://wikidata.org/entity/Q5686040,Alto,Llenado,80,341.52,2021-10-22T19:40:00Z,116.2,Residuos
1528780,15287802021-11-01T12-35Z,Gran Vía,Gran_Via,https://wikidata.org/entity/Q1324163,Alto,Rutinaria,60,,2021-11-01T12:35:00Z,,Residuos
1528780,15287802021-11-02T18-23Z,Gran Vía,Gran_Via,https://wikidata.org/entity/Q1324163,Alto,Rutinaria,0,,2021-11-02T18:23:00Z,,Residuos
1528785,15287852021-10-18T10-52Z,calle del Arenal,calle_del_Arenal,https://wikidata.org/entity/Q5740980,Alto,Llenado,80,62.4,2021-10-18T10:52:00Z,112.3,Residuos
1528792,15287922021-10-07T21-07Z,Calle del Clavel,Calle_del_Clavel,https://wikidata.org/entity/Q28051075,Alto,Rutinaria,0,,2021-10-07T21:07:00Z,,Residuos
1528797,15287972021-10-08T08-09Z,Calle Alenza,Calle_Alenza,https://wikidata.org/entity/Q27313964,Alto,Rutinaria,0,,2021-10-08T08:09:00Z,13.1,Residuos
1528797,15287972021-10-21T11-17Z,Calle Alenza,Calle_Alenza,https://wikidata.org/entity/Q27313964,Medio,Llenado,80,12,2021-10-21T11:17:00Z,13.1,Papel/Cartón
1528797,15287972021-10-22T10-07Z,Calle Alenza,Calle_Alenza,https://wikidata.org/entity/Q27313964,Medio,Rutinaria,0,,2021-10-22T10:07:00Z,13.1,Papel/cartón
1528798,15287982021-10-07T10-42Z,Calle de los Cuchilleros,Calle_de_los_Cuchilleros,https://wikidata.org/entity/Q29005894,Bajo,Rutinaria,40,,2021-10-07T10:42:00Z,,Residuos
1528804,15288042021-10-07T09-39Z,Calle de Recoletos,Calle_de_Recoletos,https://wikidata.org/entity/Q52664831,Alto,Rutinaria,40,,2021-10-07T09:39:00Z,,Residuos
1528805,15288052021-10-24T09-52Z,Calle del Carmen,Calle_del_Carmen,https://wikidata.org/entity/Q5740988,Alto,Llenado,80,168,2021-10-24T09:52:00Z,18.3,Residuos
1528807,15288072021-10-08T09-08Z,Calle de José del Hierro,Calle_de_Jose_del_Hierro,https://wikidata.org/entity/Q29910699,Alto,Llenado,80,132,2021-10-08T09:08:00Z,4.9,Residuos
1528807,15288072021-10-15T10-46Z,Calle de José del Hierro,Calle_de_Jose_del_Hierro,https://wikidata.org/entity/Q29910699,Alto,Rutinaria,60,,2021-10-15T10:46:00Z,4.9,Residuos
1528807,15288072021-10-20T13-59Z,Calle de José del Hierro,Calle_de_Jose_del_Hierro,https://wikidata.org/entity/Q29910699,Alto,Rutinaria,20,,2021-10-20T13:59:00Z,4.9,Residuos
1528807,15288072021-10-24T07-50Z,Calle de José del Hierro,Calle_de_Jose_del_Hierro,https://wikidata.org/entity/Q29910699,Alto,Rutinaria,60,,2021-10-24T07:50:00Z,4.9,Residuos
1528807,15288072021-10-30T07-46Z,Calle de José del Hierro,Calle_de_Jose_del_Hierro,https://wikidata.org/entity/Q29910699,Alto,Llenado,80,144,2021-10-30T07:46:00Z,4.9,Residuos
1528807,15288072021-11-02T12-12Z,Calle de José del Hierro,Calle_de_Jose_del_Hierro,https://wikidata.org/entity/Q29910699,Alto,Rutinaria,0,,2021-11-02T12:12:00Z,4.9,Residuos
1528808,15288082021-10-08T09-07Z,Calle de José del Hierro,Calle_de_Jose_del_Hierro,https://wikidata.org/entity/Q29910699,Alto,Rutinaria,40,,2021-10-08T09:07:00Z,5.2,Botellas/latas
1528808,15288082021-10-15T10-45Z,Calle de José del Hierro,Calle_de_Jose_del_Hierro,https://wikidata.org/entity/Q29910699,Alto,Llenado,80,144,2021-10-15T10:45:00Z,5.2,Botellas/latas
1528808,15288082021-10-20T13-55Z,Calle de José del Hierro,Calle_de_Jose_del_Hierro,https://wikidata.org/entity/Q29910699,Alto,Llenado,80,12,2021-10-20T13:55:00Z,5.2,Botellas/latas
1528808,15288082021-10-25T10-46Z,Calle de José del Hierro,Calle_de_Jose_del_Hierro,https://wikidata.org/entity/Q29910699,Alto,Llenado,80,252,2021-10-25T10:46:00Z,5.2,Botellas/latas
