ID;ID_recolecciones;Ubicación;Capacidad;Razon;Porcentaje_llenado;Tiempo_respuestas_h;Recolecciones;Promedio_llenado_dias;Material
1527406;15274062021-10-22T19-40Z;Avenida_de_America;Alto;Llenado;80;34152;22/10/2021 21:40;1162;Residuos
1528780;15287802021-11-01T12-35Z;Gran_Via;Alto;Rutinaria;60;;01/11/2021 13:35;;Residuos
1528780;15287802021-11-02T18-23Z;Gran_Via;Alto;Rutinaria;0;;02/11/2021 19:23;;Residuos
1528785;15287852021-10-18T10-52Z;calle_del_Arenal;Alto;Llenado;80;624;18/10/2021 12:52;1123;Residuos
1528792;15287922021-10-07T21-07Z;Calle_del_Clavel;Alto;Rutinaria;0;;07/10/2021 23:07;;Residuos
1528797;15287972021-10-08T08-09Z;Calle_Alenza;Alto;Rutinaria;0;;08/10/2021 10:09;131;Residuos
1528797;15287972021-10-21T11-17Z;Calle_Alenza;Medio;Llenado;80;12;21/10/2021 13:17;131;Papel/Cartón
1528797;15287972021-10-22T10-07Z;Calle_Alenza;Medio;Rutinaria;0;;22/10/2021 12:07;131;Papel/cartón
1528798;15287982021-10-07T10-42Z;Calle_de_los_Cuchilleros;Bajo;Rutinaria;40;;07/10/2021 12:42;;Residuos
1528804;15288042021-10-07T09-39Z;Calle_de_Recoletos;Alto;Rutinaria;40;;07/10/2021 11:39;;Residuos
1528805;15288052021-10-24T09-52Z;Calle_del_Carmen;Alto;Llenado;80;168;24/10/2021 11:52;183;Residuos
1528807;15288072021-10-08T09-08Z;Calle_de_Jose_del_Hierro;Alto;Llenado;80;132;08/10/2021 11:08;49;Residuos
1528807;15288072021-10-15T10-46Z;Calle_de_Jose_del_Hierro;Alto;Rutinaria;60;;15/10/2021 12:46;49;Residuos
1528807;15288072021-10-20T13-59Z;Calle_de_Jose_del_Hierro;Alto;Rutinaria;20;;20/10/2021 15:59;49;Residuos
1528807;15288072021-10-24T07-50Z;Calle_de_Jose_del_Hierro;Alto;Rutinaria;60;;24/10/2021 9:50;49;Residuos
1528807;15288072021-10-30T07-46Z;Calle_de_Jose_del_Hierro;Alto;Llenado;80;144;30/10/2021 9:46;49;Residuos
1528807;15288072021-11-02T12-12Z;Calle_de_Jose_del_Hierro;Alto;Rutinaria;0;;02/11/2021 13:12;49;Residuos
1528808;15288082021-10-08T09-07Z;Calle_de_Jose_del_Hierro;Alto;Rutinaria;40;;08/10/2021 11:07;52;Botellas/latas
1528808;15288082021-10-15T10-45Z;Calle_de_Jose_del_Hierro;Alto;Llenado;80;144;15/10/2021 12:45;52;Botellas/latas
1528808;15288082021-10-20T13-55Z;Calle_de_Jose_del_Hierro;Alto;Llenado;80;12;20/10/2021 15:55;52;Botellas/latas
1528808;15288082021-10-25T10-46Z;Calle_de_Jose_del_Hierro;Alto;Llenado;80;252;25/10/2021 12:46;52;Botellas/latas
1528808;15288082021-10-30T07-46Z;Calle_de_Jose_del_Hierro;Alto;Rutinaria;20;;30/10/2021 9:46;52;Botellas/latas
1528808;15288082021-11-02T12-11Z;Calle_de_Jose_del_Hierro;Alto;Rutinaria;40;;02/11/2021 13:11;52;Botellas/latas
1528809;15288092021-10-23T07-22Z;Calle_de_Preciados;Alto;Llenado;80;120;23/10/2021 9:22;584;Residuos
1528810;15288102021-10-08T14-22Z;Calle_de_Serrano_Galvache;Medio;Llenado;80;12;08/10/2021 16:22;333;Papel/Cartón
1528810;15288102021-11-04T07-05Z;Calle_de_Serrano_Galvache;Medio;Llenado;80;36;04/11/2021 8:05;333;Papel/Cartón
1528817;15288172021-10-15T13-15Z;Calle_de_Sevilla;Alto;Rutinaria;0;;15/10/2021 15:15;203;Residuos
1528818;15288182021-10-08T08-43Z;calle_del_Conde_Duque;Medio;Rutinaria;20;;08/10/2021 10:43;144;Residuos
1528818;15288182021-10-22T19-58Z;calle_del_Conde_Duque;Medio;Llenado;80;12;22/10/2021 21:58;144;Residuos
1528819;15288192021-11-02T11-05Z;Calle_de_Fernando_el_Catolico;Alto;Llenado;80;12;02/11/2021 12:05;43;Residuos
1528820;15288202021-10-07T09-36Z;Calle_de_Recoletos;Bajo;Llenado;80;2879;07/10/2021 11:36;217;Botellas/latas
1528822;15288222021-10-15T13-11Z;Calle_de_Sevilla;Alto;Rutinaria;0;;15/10/2021 15:11;;Botellas/latas
1528822;15288222021-10-15T13-21Z;Calle_de_Sevilla;Alto;Alerta;0;12;15/10/2021 15:21;;Botellas/latas
