Number,Registration,Details,Product,Odometer,Distance,Unit,MPG
0012,FL65FBA,Vauxhall,Diesel,9329,2849,Miles,50.04
0013,MJ16XMY,Vauxhall,Diesel,29064,5369,Miles,39.29
0016,BP16MKK,Nissan,Diesel,42233,1052,Miles,56.17
0018,YD16NAK,Peugeot,Diesel,115020,36100,Miles,50.79
0019,BP16OPD,Nissan,Diesel,15559,948,Miles,36.04
0020,YH17VCF,Peugeot,Diesel,37352,14202,Miles,34.75
0023,YE19FLS,Volkswagen,Diesel,16270,16244,Miles,37.09
0024,YG69UKP,Volkswagen,Diesel,8103,8066,Miles,42.22
0025,YG69UKR,Volkswagen,Diesel,6187,6160,Miles,36.93
0026,YH69ZYT,Volkswagen,Diesel,6378,6361,Miles,35.21
0031,YG20GRF,Volkswagen,Diesel,691,656,Miles,20.03
0032,YG20AHU,Volkswagen,Diesel,366,299,Miles,16.18
0033,YG20GRU,Volkswagen,Diesel,1075,1044,Miles,29.36
0034,YG20GRK,Volkswagen,Diesel,784,756,Miles,26.26
0035,YG20YGZ,Volkswagen,Diesel,393,318,Miles,18.5
0039,YG20WFR,Volkswagen,Diesel,350,300,Miles,17.98
0080,YC59GZB,Ford Motor Company,Diesel,83027,7311,Miles,36.89
0081,YG10KZP,Peugeot,Diesel,223513,13264,Miles,58.76
0082,YG10ZHL,Peugeot,Diesel,233374,7010,Miles,46.89
0084,YG10TZO,Peugeot,Diesel,88679,6204,Miles,34.02
0085,YG10KZK,Peugeot,Diesel,112787,782,Miles,20.78
0086,YP59ZSK,Ford Motor Company,Diesel,57892,4819,Miles,31.4
0095,YL63CHZ,Peugeot,Diesel,38763,6976,Miles,32.41
0098,YD14UWM,Peugeot,Diesel,58386,2952,Miles,38.03
0099,YG63ETR,Peugeot,Diesel,8342,508,Miles,23.02
0106,YF13TLN,Ford Motor Company,Diesel,43780,4475,Miles,42.93
0107,YB13YCG,Ford Motor Company,Diesel,55372,6885,Miles,46.73
0108,FP15SRO,Vauxhall,Diesel,78563,4363,Miles,58.36
0110,FP15PUO,Vauxhall,Diesel,59217,1676,Miles,44.65
0111,FP15SMV,Vauxhall,Diesel,43059,2685,Miles,42.1
0112,FP15SOA,Vauxhall,Diesel,37260,901,Miles,33.92
0113,FP15RKK,Vauxhall,Diesel,74909,4397,Miles,53.71
0115,FP15RPO,Vauxhall,Diesel,58353,2721,Miles,50.38
0116,FP15PWF,Vauxhall,Diesel,63765,3236,Miles,51.73
0118,FP15SKE,Vauxhall,Diesel,23113,1887,Miles,44.83
0119,FP15SVA,Vauxhall,Diesel,21239,679,Miles,38.63
0120,FP15PVA,Vauxhall,Diesel,36178,2609,Miles,53.58
