Number,Registration,Details,Product,Odometer,Distance,Unit,MPG
5038,YK14BFV,Daf LF250 18t Tipp/Gritt Tipper 18t Demount,Diesel,51277,5786,Miles,6.09
5039,YK14BFP,Daf LF250 18t Tipp/Gritt Tipper 18t Demount,Diesel,84218,12142,Miles,12.25
5040,YK14BFU,Daf LF250 18t Tipp/Gritt Tipper 18t Demount,Diesel,50186,6430,Miles,8.86
5041,YK14BFX,Daf LF250 18t Tipp/Gritt Tipper 18t Demount,Diesel,55704,5995,Miles,7.48
5043,YK14BFZ,Daf LF250 18t Tipp/Gritt Tipper 18t Demount,Diesel,61759,7623,Miles,10.92
5044,YK14BGE,Daf LF250 18t Tipp/Gritt Tipper 18t Demount,Diesel,57245,9947,Miles,7.88
5045,YC66JKJ,Mercedes Arocs 1824K Tipper 18t Demount,Diesel,42124,9435,Miles,11.5
5046,YC66JKF,Mercedes Arocs 1824K Tipper 18t Demount,Diesel,45793,10869,Miles,11.32
5047,YC66WSN,Mercedes Arocs 1824K Tipper 18t Demount,Diesel,42618,9712,Miles,10.95
5048,YC66WSL,Mercedes Arocs 1824K Tipper 18t Demount,Diesel,41331,10652,Miles,10.82
5049,YE66JTV,Mercedes Arocs 1824K Tipper 18t Demount,Diesel,29425,6651,Miles,5.96
527,YH59OLN,Mitsubishi L200 4x4 Pickup,Diesel,0,0,Miles,0
530,YC63CPN,Ford Ranger 4x4 Pickup,Diesel,0,0,Miles,0
532,YL17PHV,Ford Ranger 4 x 4,Diesel,0,0,Miles,0
533,YL17OYR,Ford  Ranger 4 X 4,Diesel,0,0,Miles,0
534,YL17PMO,Ford Ranger 4 x 4,Diesel,0,0,Miles,0
731,MW16DDL,Vauxhall Corsa Small Van,Diesel,0,0,Miles,0
732,MW16DBU,Vauxhall Corsa Small Van,Diesel,0,0,Miles,0
733,MW16DDN,Vauxhall  Corsa Small Van,Diesel,0,0,Miles,0
734,MW16DBO,vauxhall corsa Small Van,Diesel,0,0,Miles,0
753,MW16DDJ,Vauxhall Corsa Small Van,Diesel,0,0,Miles,0
754,MW16DAU,Vauxhall  Corsa Small Van,Diesel,0,0,Miles,0
78003,YT54FHO,Landrover 110 LWB Hardtop TD5 4x4 Utility Vehicle,Diesel,26879,1159,Miles,23.09
78004,YK53CDF,Iveco Panel Van Van Medium,Diesel,34405,1130,Miles,23.64
78009,GX18URJ,  Welfare Bus,Diesel,2039,708,Miles,14.49
78016,YS54OHG,Ford Transit 17st Minibus Minibus to 17 Seats,Diesel,28619,606,Miles,15.3
78023,DK08KKU,Dennis Eagle Elite 2 Axle Bin,Diesel,196592,3394,Kilometres,7.94
78024,VU06KKA,Dennis Eagle  Elite 2 Axle Bin,Diesel,272343,1883,Kilometres,4.86
78025,VN58FZY,Dennis Eagle Elite 3 Axle Bin,Diesel,149370,4266,Kilometres,3.61
78026,VN08LPC,Dennis Elite 2 Axle Bin,Diesel,191395,7422,Kilometres,4.46
78027,VE08GYS,Dennis Eagle Elite 3 Axle Bin,Diesel,159257,5762,Kilometres,3.76
