Number,Registration,Details,same_as_wikidata_marcas,Product,same_as_wikidata_combustibles,Odometer,Distance,Unit,MPG
0012,FL65FBA,Vauxhall,https://wikidata.org/entity/Q59187,Diesel,https://wikidata.org/entity/Q38423,9329,2849,Miles,50.04
0013,MJ16XMY,Vauxhall,https://wikidata.org/entity/Q59187,Diesel,https://wikidata.org/entity/Q38423,29064,5369,Miles,39.29
0016,BP16MKK,Nissan,https://wikidata.org/entity/Q20165,Diesel,https://wikidata.org/entity/Q38423,42233,1052,Miles,56.17
0018,YD16NAK,Peugeot,https://wikidata.org/entity/Q6742,Diesel,https://wikidata.org/entity/Q38423,115020,36100,Miles,50.79
0019,BP16OPD,Nissan,https://wikidata.org/entity/Q20165,Diesel,https://wikidata.org/entity/Q38423,15559,948,Miles,36.04
0020,YH17VCF,Peugeot,https://wikidata.org/entity/Q6742,Diesel,https://wikidata.org/entity/Q38423,37352,14202,Miles,34.75
0023,YE19FLS,Volkswagen,https://wikidata.org/entity/Q246,Diesel,https://wikidata.org/entity/Q38423,16270,16244,Miles,37.09
0024,YG69UKP,Volkswagen,https://wikidata.org/entity/Q246,Diesel,https://wikidata.org/entity/Q38423,8103,8066,Miles,42.22
0025,YG69UKR,Volkswagen,https://wikidata.org/entity/Q246,Diesel,https://wikidata.org/entity/Q38423,6187,6160,Miles,36.93
0026,YH69ZYT,Volkswagen,https://wikidata.org/entity/Q246,Diesel,https://wikidata.org/entity/Q38423,6378,6361,Miles,35.21
0031,YG20GRF,Volkswagen,https://wikidata.org/entity/Q246,Diesel,https://wikidata.org/entity/Q38423,691,656,Miles,20.03
0032,YG20AHU,Volkswagen,https://wikidata.org/entity/Q246,Diesel,https://wikidata.org/entity/Q38423,366,299,Miles,16.18
0033,YG20GRU,Volkswagen,https://wikidata.org/entity/Q246,Diesel,https://wikidata.org/entity/Q38423,1075,1044,Miles,29.36
0034,YG20GRK,Volkswagen,https://wikidata.org/entity/Q246,Diesel,https://wikidata.org/entity/Q38423,784,756,Miles,26.26
0035,YG20YGZ,Volkswagen,https://wikidata.org/entity/Q246,Diesel,https://wikidata.org/entity/Q38423,393,318,Miles,18.5
0039,YG20WFR,Volkswagen,https://wikidata.org/entity/Q246,Diesel,https://wikidata.org/entity/Q38423,350,300,Miles,17.98
0080,YC59GZB,Ford,https://wikidata.org/entity/Q44294,Diesel,https://wikidata.org/entity/Q38423,83027,7311,Miles,36.89
0081,YG10KZP,Peugeot,https://wikidata.org/entity/Q6742,Diesel,https://wikidata.org/entity/Q38423,223513,13264,Miles,58.76
0082,YG10ZHL,Peugeot,https://wikidata.org/entity/Q6742,Diesel,https://wikidata.org/entity/Q38423,233374,7010,Miles,46.89
0084,YG10TZO,Peugeot,https://wikidata.org/entity/Q6742,Diesel,https://wikidata.org/entity/Q38423,88679,6204,Miles,34.02
0085,YG10KZK,Peugeot,https://wikidata.org/entity/Q6742,Diesel,https://wikidata.org/entity/Q38423,112787,782,Miles,20.78
0086,YP59ZSK,Ford,https://wikidata.org/entity/Q44294,Diesel,https://wikidata.org/entity/Q38423,57892,4819,Miles,31.4
0095,YL63CHZ,Peugeot,https://wikidata.org/entity/Q6742,Diesel,https://wikidata.org/entity/Q38423,38763,6976,Miles,32.41
0098,YD14UWM,Peugeot,https://wikidata.org/entity/Q6742,Diesel,https://wikidata.org/entity/Q38423,58386,2952,Miles,38.03
0099,YG63ETR,Peugeot,https://wikidata.org/entity/Q6742,Diesel,https://wikidata.org/entity/Q38423,8342,508,Miles,23.02
0106,YF13TLN,Ford,https://wikidata.org/entity/Q44294,Diesel,https://wikidata.org/entity/Q38423,43780,4475,Miles,42.93
0107,YB13YCG,Ford,https://wikidata.org/entity/Q44294,Diesel,https://wikidata.org/entity/Q38423,55372,6885,Miles,46.73
0108,FP15SRO,Vauxhall,https://wikidata.org/entity/Q59187,Diesel,https://wikidata.org/entity/Q38423,78563,4363,Miles,58.36
0110,FP15PUO,Vauxhall,https://wikidata.org/entity/Q59187,Diesel,https://wikidata.org/entity/Q38423,59217,1676,Miles,44.65
0111,FP15SMV,Vauxhall,https://wikidata.org/entity/Q59187,Diesel,https://wikidata.org/entity/Q38423,43059,2685,Miles,42.1
0112,FP15SOA,Vauxhall,https://wikidata.org/entity/Q59187,Diesel,https://wikidata.org/entity/Q38423,37260,901,Miles,33.92
0113,FP15RKK,Vauxhall,https://wikidata.org/entity/Q59187,Diesel,https://wikidata.org/entity/Q38423,74909,4397,Miles,53.71
0115,FP15RPO,Vauxhall,https://wikidata.org/entity/Q59187,Diesel,https://wikidata.org/entity/Q38423,58353,2721,Miles,50.38
0116,FP15PWF,Vauxhall,https://wikidata.org/entity/Q59187,Diesel,https://wikidata.org/entity/Q38423,63765,3236,Miles,51.73
0118,FP15SKE,Vauxhall,https://wikidata.org/entity/Q59187,Diesel,https://wikidata.org/entity/Q38423,23113,1887,Miles,44.83
0119,FP15SVA,Vauxhall,https://wikidata.org/entity/Q59187,Diesel,https://wikidata.org/entity/Q38423,21239,679,Miles,38.63
0120,FP15PVA,Vauxhall,https://wikidata.org/entity/Q59187,Diesel,https://wikidata.org/entity/Q38423,36178,2609,Miles,53.58
0121,FP15SJX,Vauxhall,https://wikidata.org/entity/Q59187,Diesel,https://wikidata.org/entity/Q38423,62982,6067,Kilometres,41.91
0122,FP15RSX,Vauxhall,https://wikidata.org/entity/Q59187,Diesel,https://wikidata.org/entity/Q38423,42173,1651,Miles,47.59
0123,FP15SJU,Vauxhall,https://wikidata.org/entity/Q59187,Diesel,https://wikidata.org/entity/Q38423,42270,2012,Miles,41.42
0124,FP15SLZ,Vauxhall,https://wikidata.org/entity/Q59187,Diesel,https://wikidata.org/entity/Q38423,49500,3938,Miles,49.5
0125,FP15SBO,Vauxhall,https://wikidata.org/entity/Q59187,Diesel,https://wikidata.org/entity/Q38423,35334,1937,Miles,41.76
0201,YJ16CVB,Volkswagen,https://wikidata.org/entity/Q246,Diesel,https://wikidata.org/entity/Q38423,46057,12467,Miles,20
0202,YJ16CVA,Volkswagen,https://wikidata.org/entity/Q246,Diesel,https://wikidata.org/entity/Q38423,51200,8689,Miles,18.45
0203,YJ16CVX,Volkswagen,https://wikidata.org/entity/Q246,Diesel,https://wikidata.org/entity/Q38423,60932,9188,Miles,18.72
0204,YJ16CVR,Volkswagen,https://wikidata.org/entity/Q246,Diesel,https://wikidata.org/entity/Q38423,47993,12716,Miles,18.92
0205,YJ16CVS,Volkswagen,https://wikidata.org/entity/Q246,Diesel,https://wikidata.org/entity/Q38423,89005,14410,Miles,18.97
0206,YJ16CVT,Volkswagen,https://wikidata.org/entity/Q246,Diesel,https://wikidata.org/entity/Q38423,39415,7112,Miles,17.97
0207,YJ16CRZ,Volkswagen,https://wikidata.org/entity/Q246,Diesel,https://wikidata.org/entity/Q38423,49801,12449,Miles,18.3
0208,YJ16CRX,Volkswagen,https://wikidata.org/entity/Q246,Diesel,https://wikidata.org/entity/Q38423,66485,18169,Miles,19.69
0209,YJ16CRV,Volkswagen,https://wikidata.org/entity/Q246,Diesel,https://wikidata.org/entity/Q38423,89844,16460,Miles,19.37
0210,YJ16CUO,Volkswagen,https://wikidata.org/entity/Q246,Diesel,https://wikidata.org/entity/Q38423,62435,11404,Miles,18.25
0211,YJ16CUC,Volkswagen,https://wikidata.org/entity/Q246,Diesel,https://wikidata.org/entity/Q38423,56759,15551,Miles,20.78
0212,YJ16CVF,Volkswagen,https://wikidata.org/entity/Q246,Diesel,https://wikidata.org/entity/Q38423,60345,14258,Miles,18.82
0213,YJ16CPY,Volkswagen,https://wikidata.org/entity/Q246,Diesel,https://wikidata.org/entity/Q38423,56241,13020,Miles,19.08
0214,YJ16CPX,Volkswagen,https://wikidata.org/entity/Q246,Diesel,https://wikidata.org/entity/Q38423,48977,10784,Miles,19.51
0215,YJ16CPZ,Volkswagen,https://wikidata.org/entity/Q246,Diesel,https://wikidata.org/entity/Q38423,50038,10393,Miles,17.73
0216,YJ16CPU,Volkswagen,https://wikidata.org/entity/Q246,Diesel,https://wikidata.org/entity/Q38423,46831,12041,Miles,20.94
