Number,Registration,Details,same_as_wikidata_marcas,Product,same_as_wikidata_combustibles,Odometer,Distance,Unit,same_as_wikidata_medidas,MPG
0012,FL65FBA,Vauxhall,https://wikidata.org/entity/Q59187,diesel,https://wikidata.org/entity/Q38423,9329,2849,mile,https://wikidata.org/entity/Q253276,50.04
0013,MJ16XMY,Vauxhall,https://wikidata.org/entity/Q59187,diesel,https://wikidata.org/entity/Q38423,29064,5369,mile,https://wikidata.org/entity/Q253276,39.29
0016,BP16MKK,Nissan,https://wikidata.org/entity/Q20165,diesel,https://wikidata.org/entity/Q38423,42233,1052,mile,https://wikidata.org/entity/Q253276,56.17
0018,YD16NAK,Peugeot,https://wikidata.org/entity/Q6742,diesel,https://wikidata.org/entity/Q38423,115020,36100,mile,https://wikidata.org/entity/Q253276,50.79
0019,BP16OPD,Nissan,https://wikidata.org/entity/Q20165,diesel,https://wikidata.org/entity/Q38423,15559,948,mile,https://wikidata.org/entity/Q253276,36.04
0020,YH17VCF,Peugeot,https://wikidata.org/entity/Q6742,diesel,https://wikidata.org/entity/Q38423,37352,14202,mile,https://wikidata.org/entity/Q253276,34.75
0023,YE19FLS,Volkswagen,https://wikidata.org/entity/Q246,diesel,https://wikidata.org/entity/Q38423,16270,16244,mile,https://wikidata.org/entity/Q253276,37.09
0024,YG69UKP,Volkswagen,https://wikidata.org/entity/Q246,diesel,https://wikidata.org/entity/Q38423,8103,8066,mile,https://wikidata.org/entity/Q253276,42.22
0025,YG69UKR,Volkswagen,https://wikidata.org/entity/Q246,diesel,https://wikidata.org/entity/Q38423,6187,6160,mile,https://wikidata.org/entity/Q253276,36.93
0026,YH69ZYT,Volkswagen,https://wikidata.org/entity/Q246,diesel,https://wikidata.org/entity/Q38423,6378,6361,mile,https://wikidata.org/entity/Q253276,35.21
0031,YG20GRF,Volkswagen,https://wikidata.org/entity/Q246,diesel,https://wikidata.org/entity/Q38423,691,656,mile,https://wikidata.org/entity/Q253276,20.03
0032,YG20AHU,Volkswagen,https://wikidata.org/entity/Q246,diesel,https://wikidata.org/entity/Q38423,366,299,mile,https://wikidata.org/entity/Q253276,16.18
0033,YG20GRU,Volkswagen,https://wikidata.org/entity/Q246,diesel,https://wikidata.org/entity/Q38423,1075,1044,mile,https://wikidata.org/entity/Q253276,29.36
0034,YG20GRK,Volkswagen,https://wikidata.org/entity/Q246,diesel,https://wikidata.org/entity/Q38423,784,756,mile,https://wikidata.org/entity/Q253276,26.26
0035,YG20YGZ,Volkswagen,https://wikidata.org/entity/Q246,diesel,https://wikidata.org/entity/Q38423,393,318,mile,https://wikidata.org/entity/Q253276,18.5
0039,YG20WFR,Volkswagen,https://wikidata.org/entity/Q246,diesel,https://wikidata.org/entity/Q38423,350,300,mile,https://wikidata.org/entity/Q253276,17.98
0080,YC59GZB,Ford Motor Company,https://wikidata.org/entity/Q44294,diesel,https://wikidata.org/entity/Q38423,83027,7311,mile,https://wikidata.org/entity/Q253276,36.89
0081,YG10KZP,Peugeot,https://wikidata.org/entity/Q6742,diesel,https://wikidata.org/entity/Q38423,223513,13264,mile,https://wikidata.org/entity/Q253276,58.76
0082,YG10ZHL,Peugeot,https://wikidata.org/entity/Q6742,diesel,https://wikidata.org/entity/Q38423,233374,7010,mile,https://wikidata.org/entity/Q253276,46.89
0084,YG10TZO,Peugeot,https://wikidata.org/entity/Q6742,diesel,https://wikidata.org/entity/Q38423,88679,6204,mile,https://wikidata.org/entity/Q253276,34.02
0085,YG10KZK,Peugeot,https://wikidata.org/entity/Q6742,diesel,https://wikidata.org/entity/Q38423,112787,782,mile,https://wikidata.org/entity/Q253276,20.78
0086,YP59ZSK,Ford Motor Company,https://wikidata.org/entity/Q44294,diesel,https://wikidata.org/entity/Q38423,57892,4819,mile,https://wikidata.org/entity/Q253276,31.4
0095,YL63CHZ,Peugeot,https://wikidata.org/entity/Q6742,diesel,https://wikidata.org/entity/Q38423,38763,6976,mile,https://wikidata.org/entity/Q253276,32.41
0098,YD14UWM,Peugeot,https://wikidata.org/entity/Q6742,diesel,https://wikidata.org/entity/Q38423,58386,2952,mile,https://wikidata.org/entity/Q253276,38.03
0099,YG63ETR,Peugeot,https://wikidata.org/entity/Q6742,diesel,https://wikidata.org/entity/Q38423,8342,508,mile,https://wikidata.org/entity/Q253276,23.02
0106,YF13TLN,Ford Motor Company,https://wikidata.org/entity/Q44294,diesel,https://wikidata.org/entity/Q38423,43780,4475,mile,https://wikidata.org/entity/Q253276,42.93
0107,YB13YCG,Ford Motor Company,https://wikidata.org/entity/Q44294,diesel,https://wikidata.org/entity/Q38423,55372,6885,mile,https://wikidata.org/entity/Q253276,46.73
0108,FP15SRO,Vauxhall,https://wikidata.org/entity/Q59187,diesel,https://wikidata.org/entity/Q38423,78563,4363,mile,https://wikidata.org/entity/Q253276,58.36
0110,FP15PUO,Vauxhall,https://wikidata.org/entity/Q59187,diesel,https://wikidata.org/entity/Q38423,59217,1676,mile,https://wikidata.org/entity/Q253276,44.65
0111,FP15SMV,Vauxhall,https://wikidata.org/entity/Q59187,diesel,https://wikidata.org/entity/Q38423,43059,2685,mile,https://wikidata.org/entity/Q253276,42.1
0112,FP15SOA,Vauxhall,https://wikidata.org/entity/Q59187,diesel,https://wikidata.org/entity/Q38423,37260,901,mile,https://wikidata.org/entity/Q253276,33.92
0113,FP15RKK,Vauxhall,https://wikidata.org/entity/Q59187,diesel,https://wikidata.org/entity/Q38423,74909,4397,mile,https://wikidata.org/entity/Q253276,53.71
0115,FP15RPO,Vauxhall,https://wikidata.org/entity/Q59187,diesel,https://wikidata.org/entity/Q38423,58353,2721,mile,https://wikidata.org/entity/Q253276,50.38
0116,FP15PWF,Vauxhall,https://wikidata.org/entity/Q59187,diesel,https://wikidata.org/entity/Q38423,63765,3236,mile,https://wikidata.org/entity/Q253276,51.73
0118,FP15SKE,Vauxhall,https://wikidata.org/entity/Q59187,diesel,https://wikidata.org/entity/Q38423,23113,1887,mile,https://wikidata.org/entity/Q253276,44.83
0119,FP15SVA,Vauxhall,https://wikidata.org/entity/Q59187,diesel,https://wikidata.org/entity/Q38423,21239,679,mile,https://wikidata.org/entity/Q253276,38.63
0120,FP15PVA,Vauxhall,https://wikidata.org/entity/Q59187,diesel,https://wikidata.org/entity/Q38423,36178,2609,mile,https://wikidata.org/entity/Q253276,53.58
0121,FP15SJX,Vauxhall,https://wikidata.org/entity/Q59187,diesel,https://wikidata.org/entity/Q38423,62982,6067,kilometre,https://wikidata.org/entity/Q828224,41.91
0122,FP15RSX,Vauxhall,https://wikidata.org/entity/Q59187,diesel,https://wikidata.org/entity/Q38423,42173,1651,mile,https://wikidata.org/entity/Q253276,47.59
0123,FP15SJU,Vauxhall,https://wikidata.org/entity/Q59187,diesel,https://wikidata.org/entity/Q38423,42270,2012,mile,https://wikidata.org/entity/Q253276,41.42
0124,FP15SLZ,Vauxhall,https://wikidata.org/entity/Q59187,diesel,https://wikidata.org/entity/Q38423,49500,3938,mile,https://wikidata.org/entity/Q253276,49.5
0125,FP15SBO,Vauxhall,https://wikidata.org/entity/Q59187,diesel,https://wikidata.org/entity/Q38423,35334,1937,mile,https://wikidata.org/entity/Q253276,41.76
0201,YJ16CVB,Volkswagen,https://wikidata.org/entity/Q246,diesel,https://wikidata.org/entity/Q38423,46057,12467,mile,https://wikidata.org/entity/Q253276,20
0202,YJ16CVA,Volkswagen,https://wikidata.org/entity/Q246,diesel,https://wikidata.org/entity/Q38423,51200,8689,mile,https://wikidata.org/entity/Q253276,18.45
0203,YJ16CVX,Volkswagen,https://wikidata.org/entity/Q246,diesel,https://wikidata.org/entity/Q38423,60932,9188,mile,https://wikidata.org/entity/Q253276,18.72
0204,YJ16CVR,Volkswagen,https://wikidata.org/entity/Q246,diesel,https://wikidata.org/entity/Q38423,47993,12716,mile,https://wikidata.org/entity/Q253276,18.92
0205,YJ16CVS,Volkswagen,https://wikidata.org/entity/Q246,diesel,https://wikidata.org/entity/Q38423,89005,14410,mile,https://wikidata.org/entity/Q253276,18.97
0206,YJ16CVT,Volkswagen,https://wikidata.org/entity/Q246,diesel,https://wikidata.org/entity/Q38423,39415,7112,mile,https://wikidata.org/entity/Q253276,17.97
